Airport,Degree,Strength,Clustering coff,av_path_length,max_path_length,Betweenes,Eigenvector centrality,Pagerank
PAR,250,1023424.5,0.08915663,2.68767275,10,0.09342038,0.18028732,0.01272929
LON,242,1464828.0,0.11234183,2.63515755,10,0.08498898,0.20037151,0.01560551
FRA,237,697513.5,0.11696346,2.68214483,10,0.06557771,0.19554603,0.0077043
AMS,192,481335.0,0.14283377,2.73134328,10,0.04049213,0.1714516,0.00538375
MOW,186,217145.0,0.09584423,2.87755666,10,0.05221081,0.1166448,0.00588372
CHI,184,1329505.0,0.13417676,2.80790492,11,0.0444435,0.13810203,0.01017965
NYC,179,1524349.5,0.15755445,2.70840243,11,0.06928349,0.16058354,0.01247061
ATL,172,1129605.0,0.1378349,2.91542289,11,0.02489618,0.12207139,0.00860287
BCN,80,289105.0,0.32848101,3.27307905,11,0.0019323,0.0891462,0.0028165
WAW,55,86836.5,0.45858586,3.2435047,11,0.00155695,0.07519898,0.00111978
CHC,20,64158.5,0.25263158,3.56522941,10,0.00336745,0.00418781,0.00161537
DJE,20,10198.5,0.7,3.57822001,11,0.00014586,0.03183126,0.00018064
ADA,7,10704.0,0.71428571,3.63239359,11,1.317e-05,0.01068776,0.00020485
AGU,7,7678.0,0.76190476,3.6644555,11,5.76e-06,0.00513412,0.00011933
TBO,2,234.0,1.0,4.58319514,12,0.0,0.00012303,7.989e-05
ZVA,1,19.0,0.0,7.57517966,15,0.0,0.0,9.497e-05
